TITLE;
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/06/09
TIME;15:31:44
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  300,0000
NPOINTS;     501
FIRSTY;     0,13993
MAXY;     1,19839
MINY;     0,13993
XYDATA
800,0000;0,139933
799,0000;0,140585
798,0000;0,141249
797,0000;0,141905
796,0000;0,142565
795,0000;0,143241
794,0000;0,143928
793,0000;0,144617
792,0000;0,145299
791,0000;0,145995
790,0000;0,146707
789,0000;0,147422
788,0000;0,148135
787,0000;0,148861
786,0000;0,149592
785,0000;0,150319
784,0000;0,151051
783,0000;0,151784
782,0000;0,152524
781,0000;0,153261
780,0000;0,154
779,0000;0,154747
778,0000;0,1555
777,0000;0,15625
776,0000;0,157007
775,0000;0,157768
774,0000;0,158529
773,0000;0,15929
772,0000;0,16006
771,0000;0,160835
770,0000;0,161606
769,0000;0,162394
768,0000;0,163191
767,0000;0,163984
766,0000;0,164781
765,0000;0,165588
764,0000;0,166382
763,0000;0,16718
762,0000;0,167985
761,0000;0,168788
760,0000;0,169594
759,0000;0,170421
758,0000;0,171248
757,0000;0,172077
756,0000;0,172928
755,0000;0,173779
754,0000;0,174634
753,0000;0,175509
752,0000;0,176392
751,0000;0,177287
750,0000;0,1782
749,0000;0,179121
748,0000;0,180062
747,0000;0,181024
746,0000;0,181995
745,0000;0,183004
744,0000;0,184045
743,0000;0,185118
742,0000;0,186245
741,0000;0,187435
740,0000;0,188824
739,0000;0,190215
738,0000;0,191768
737,0000;0,193557
736,0000;0,195672
735,0000;0,198242
734,0000;0,201395
733,0000;0,205202
732,0000;0,209595
731,0000;0,214208
730,0000;0,218339
729,0000;0,221041
728,0000;0,2216
727,0000;0,220093
726,0000;0,217327
725,0000;0,214458
724,0000;0,212146
723,0000;0,210551
722,0000;0,209679
721,0000;0,209419
720,0000;0,20967
719,0000;0,210213
718,0000;0,210844
717,0000;0,211498
716,0000;0,212189
715,0000;0,212918
714,0000;0,213683
713,0000;0,214473
712,0000;0,215294
711,0000;0,21615
710,0000;0,217042
709,0000;0,217958
708,0000;0,218904
707,0000;0,219878
706,0000;0,220876
705,0000;0,221892
704,0000;0,222925
703,0000;0,22398
702,0000;0,225048
701,0000;0,226131
700,0000;0,227232
699,0000;0,228352
698,0000;0,229487
697,0000;0,230633
696,0000;0,231793
695,0000;0,232967
694,0000;0,234152
693,0000;0,235348
692,0000;0,236558
691,0000;0,237785
690,0000;0,239029
689,0000;0,240287
688,0000;0,241565
687,0000;0,242858
686,0000;0,24417
685,0000;0,245489
684,0000;0,246819
683,0000;0,24816
682,0000;0,249515
681,0000;0,250877
680,0000;0,252249
679,0000;0,253633
