TITLE;
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;26/06/09
TIME;12:54:32
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  300,0000
NPOINTS;     501
FIRSTY;     0,23613
MAXY;     0,40509
MINY;     0,23613
XYDATA
800,0000;0,236135
799,0000;0,236338
798,0000;0,23654
797,0000;0,236737
796,0000;0,236932
795,0000;0,23714
794,0000;0,237352
793,0000;0,237569
792,0000;0,23778
791,0000;0,237989
790,0000;0,238214
789,0000;0,238428
788,0000;0,238633
787,0000;0,238849
786,0000;0,239064
785,0000;0,239273
784,0000;0,239485
783,0000;0,2397
782,0000;0,239922
781,0000;0,240137
780,0000;0,240341
779,0000;0,240555
778,0000;0,240764
777,0000;0,240961
776,0000;0,241159
775,0000;0,241351
774,0000;0,241538
773,0000;0,241724
772,0000;0,24191
771,0000;0,242093
770,0000;0,242264
769,0000;0,242445
768,0000;0,242633
767,0000;0,242812
766,0000;0,242985
765,0000;0,24317
764,0000;0,243342
763,0000;0,243514
762,0000;0,243694
761,0000;0,243868
760,0000;0,24404
759,0000;0,244223
758,0000;0,244408
757,0000;0,244582
756,0000;0,244761
755,0000;0,244942
754,0000;0,245119
753,0000;0,245312
752,0000;0,245508
751,0000;0,245701
750,0000;0,245919
749,0000;0,246141
748,0000;0,246375
747,0000;0,246629
746,0000;0,246891
745,0000;0,247186
744,0000;0,247504
743,0000;0,24785
742,0000;0,248248
741,0000;0,248705
740,0000;0,249304
739,0000;0,24995
738,0000;0,250754
737,0000;0,251783
736,0000;0,253152
735,0000;0,254968
734,0000;0,257372
733,0000;0,260407
732,0000;0,263991
731,0000;0,267765
730,0000;0,27098
729,0000;0,272715
728,0000;0,2723
727,0000;0,26982
726,0000;0,266124
725,0000;0,26239
724,0000;0,259266
723,0000;0,256862
722,0000;0,255169
721,0000;0,254068
720,0000;0,253453
719,0000;0,253088
718,0000;0,252801
717,0000;0,25254
716,0000;0,252307
715,0000;0,252101
714,0000;0,251919
713,0000;0,251764
712,0000;0,251633
711,0000;0,251526
710,0000;0,251443
709,0000;0,251385
708,0000;0,251346
707,0000;0,251328
706,0000;0,251327
705,0000;0,251333
704,0000;0,251349
703,0000;0,251377
702,0000;0,251414
701,0000;0,251456
700,0000;0,251502
699,0000;0,251556
698,0000;0,25162
697,0000;0,251692
696,0000;0,251765
695,0000;0,251848
694,0000;0,251938
693,0000;0,252036
692,0000;0,252135
691,0000;0,252248
690,0000;0,252364
689,0000;0,252491
688,0000;0,252619
687,0000;0,252753
686,0000;0,252898
685,0000;0,253042
684,0000;0,253182
683,0000;0,253327
682,0000;0,253475
681,0000;0,253628
680,0000;0,253785
679,0000;0,253943
